feature,importance
log_dose_um,88
PLS1,35
CFLAR,29
NSDHL,28
NCOA3,26
CDK7,24
SLC35A1,24
PGAM1,23
SPP1,23
TUBB6,23
MAP7,23
EPHB2,23
ZW10,23
IFRD2,22
NUP85,22
PPARG,22
DERA,22
TES,22
ELOVL6,22
RHOA,21
CLTB,21
POLB,21
CHN1,21
RPIA,21
MALT1,21
MFSD10,21
HIST1H2BK,20
LAMA3,20
ecfp_666,20
ecfp_532,20
PPIE,20
RNF167,19
MAPK13,19
JUN,19
CIAPIN1,19
CCP110,19
RB1,19
TPM1,19
LGMN,19
KDM5A,19
PAN2,19
SLC5A6,19
DDX10,18
LSM5,18
CRTAP,18
TWF2,18
PLCB3,18
TRIB1,18
ATP6V0B,18
MTF2,18
ACOT9,18
LOXL1,18
SQSTM1,17
NR2F6,17
YTHDF1,17
ecfp_331,17
TBC1D9B,17
TCERG1,17
CCL2,17
EVL,17
CGRRF1,16
ECH1,16
NUDCD3,16
TOMM70A,16
ecfp_46,16
DYRK3,16
SLC35A3,16
PRAF2,16
SLC25A13,16
ADCK3,15
MACF1,15
SPDEF,15
PAX8,15
ecfp_672,15
ATF1,15
SUV39H1,15
CD40,15
RBM6,15
PTK2,15
C2CD2,15
ecfp_377,14
ecfp_130,14
ecfp_571,14
PIK3C2B,14
ZMIZ1,14
POLE2,14
ATF6,14
WASF3,14
TXLNA,14
MLLT11,14
HOXA10,14
CSNK2A2,14
HOXA5,14
FAIM,14
ecfp_849,14
LYRM1,14
TXNDC9,13
FPGS,13
CHEK1,13
ANKRD10,13
CHIC2,13
POLR2K,13
CD320,13
DNAJB2,13
PRR15L,13
EIF5,13
ELAC2,13
CNDP2,13
RALA,13
HES1,12
CYCS,12
PCMT1,12
ecfp_940,12
COG2,12
MUC1,12
NUCB2,12
EGR1,12
TMEM97,12
RALGDS,12
RRAGA,12
STAT5B,12
ecfp_847,12
RELB,12
P4HTM,12
PIH1D1,12
TFAP2A,12
COG4,12
GATA3,12
EIF4EBP1,12
CSK,12
PRKCH,12
NRAS,12
SPAG4,12
KIAA0753,12
HS2ST1,11
CREB1,11
DNAJB1,11
CHERP,11
ME2,11
ITGB1BP1,11
RAB21,11
ATP1B1,11
PRCP,11
SESN1,11
ITFG1,11
KIF1BP,11
ZDHHC6,11
BIRC2,11
KAT6A,11
DCK,11
ecfp_283,11
ecfp_694,11
HSPB1,11
FOSL1,11
SLC25A46,10
LBR,10
GTF2E2,10
TPD52L2,10
GRB7,10
HOMER2,10
G3BP1,10
IDE,10
TARBP1,10
TBPL1,10
ATF5,10
ecfp_585,10
ecfp_72,10
ACLY,10
KIF20A,10
ecfp_11,10
CASP3,10
PAICS,10
KIF14,10
ecfp_297,10
CDK4,10
PTPN6,10
ADAT1,10
GHR,10
SERPINE1,10
RAB31,10
GTPBP8,10
PSMD9,10
ATMIN,10
TBX2,9
SLC25A14,9
MAPKAPK3,9
NFE2L2,9
AKT1,9
UFM1,9
ACAT2,9
DNTTIP2,9
GABPB1,9
SCRN1,9
RPN1,9
PIN1,9
GLOD4,9
ADGRE5,9
MOK,9
MPC2,9
DNAJA3,9
MSH6,9
ETV1,9
CTSD,9
SDHB,9
ecfp_787,9
ELAVL1,9
ADH5,9
TRAK2,9
LSR,9
XBP1,9
CSRP1,9
ARNT2,9
BLMH,9
NFATC3,9
ABHD4,9
NOSIP,9
LYPLA1,9
PPP1R13B,9
SATB1,9
PUF60,9
ecfp_494,9
BAG3,9
CAST,9
C5,9
NFKBIA,9
COL4A1,9
IGF2BP2,9
ENOPH1,9
EIF4G1,9
CAB39,9
PAK1,9
FZD7,9
UBE3B,8
HMGA2,8
MRPL12,8
RPS5,8
MCOLN1,8
EFCAB14,8
