feature_1	feature_2	mean_abs_interaction
CCND1	SMC4	0.01057652786912227
CCND1	VPS28	0.009669180487437194
CYB561	UBE3B	0.00963159836585741
CCND1	ETFB	0.008492478624181067
NUP62	SCAND1	0.008390808173919705
CCND1	CFLAR	0.00789324639044403
CCND1	ZW10	0.007289309150382941
CCND1	HLA-DRA	0.007113960702301806
AKT1	RPA3	0.006932714599380087
CCND1	NUP85	0.006813748283440192
FOXO4	PTGS2	0.006353874573126893
CCND1	SNX6	0.006314255980721871
CCND1	GMNN	0.005743556920133618
EIF4EBP1	KIAA0355	0.0057316462045617035
CALU	TRIB3	0.005661751457192934
HMG20B	ORC1	0.0056393519349622456
KIF5C	LYPLA1	0.005389275178521149
FBXO7	PCBD1	0.0052547211271744675
MELK	ssgsea_PI3K/AKT/mTOR  Signaling	0.005239130087249377
CEBPA	RFX5	0.005162192405345613
NENF	TFDP1	0.005032862415030353
POLE2	RPA1	0.004812653537024909
HSPB1	PSMG1	0.004799723539786558
ABCB6	VPS72	0.004644330234297257
PLS1	SPAG4	0.004557021912410442
CCND1	FOXO3	0.004533504181378241
CCND1	SLC25A4	0.004396021390085103
CXCL2	RFX5	0.00433703130624701
CFLAR	VPS28	0.0043340927812138925
DENND2D	GATA3	0.00432689285272197
